identificador de la publicación,Identificador de la cuenta,Nombre de usuario de la cuenta,Nombre de la cuenta,Descripción,Duración (segundos),Hora de publicación,Enlace permanente,Tipo de publicación,Comentario sobre los datos,Fecha,Visualizaciones,Alcance,Me gusta,Veces que se ha compartido,Visitas al perfil,Respuestas,Clics en el enlace,Navegación,Toques en stickers,Seguidores
17955055077068164,17841401871496039,360radioco,360 Radio Colombia,,0,02/19/2026 06:56,https://www.instagram.com/stories/360radioco/3836051319669306303,Historia de Instagram,,Total,397,333,5,0,1.0,1,1.0,313,,
18396255961194680,17841401871496039,360radioco,360 Radio Colombia,,0,02/19/2026 11:17,https://www.instagram.com/stories/360radioco/3836182868452802381,Historia de Instagram,,Total,308,269,3,0,,2,1.0,258,,
18084561809191560,17841401871496039,360radioco,360 Radio Colombia,,0,02/19/2026 11:19,https://www.instagram.com/stories/360radioco/3836183770194590353,Historia de Instagram,,Total,269,245,4,0,,3,,237,,
18072564185397865,17841401871496039,360radioco,360 Radio Colombia,,0,02/19/2026 11:22,https://www.instagram.com/stories/360radioco/3836185444141332997,Historia de Instagram,,Total,251,232,3,0,,0,,231,,
18095069129053418,17841401871496039,360radioco,360 Radio Colombia,,0,02/19/2026 11:23,https://www.instagram.com/stories/360radioco/3836186008501699264,Historia de Instagram,,Total,237,215,2,0,3.0,1,1.0,224,,
18059273801355747,17841401871496039,360radioco,360 Radio Colombia,#EstadosUnidos,0,02/20/2026 08:23,https://www.instagram.com/stories/360radioco/3836819903311933373,Historia de Instagram,,Total,363,299,3,0,2.0,2,1.0,295,,
18040050950764985,17841401871496039,360radioco,360 Radio Colombia,#Petro,0,02/20/2026 08:24,https://www.instagram.com/stories/360radioco/3836820382519587111,Historia de Instagram,,Total,296,253,3,0,,1,1.0,265,,
17866950243571570,17841401871496039,360radioco,360 Radio Colombia,,0,02/20/2026 08:25,https://www.instagram.com/stories/360radioco/3836820904316163712,Historia de Instagram,,Total,271,233,3,0,,0,2.0,237,,
18066558791278333,17841401871496039,360radioco,360 Radio Colombia,,0,02/20/2026 08:26,https://www.instagram.com/stories/360radioco/3836821723983789239,Historia de Instagram,,Total,253,226,4,0,1.0,0,1.0,225,,
18065098592647511,17841401871496039,360radioco,360 Radio Colombia,,0,02/20/2026 08:40,https://www.instagram.com/stories/360radioco/3836828515258220198,Historia de Instagram,,Total,240,209,2,0,2.0,0,,227,,
17996829479885239,17841401871496039,360radioco,360 Radio Colombia,@acggp_energia,0,02/23/2026 11:17,https://www.instagram.com/stories/360radioco/3839082035332348199,Historia de Instagram,,Total,511,435,4,0,1.0,0,,457,5.0,
18103723282874192,17841401871496039,360radioco,360 Radio Colombia,,0,02/24/2026 09:27,https://www.instagram.com/stories/360radioco/3839751253622951640,Historia de Instagram,,Total,344,283,2,0,4.0,0,1.0,303,,
17854835412587681,17841401871496039,360radioco,360 Radio Colombia,,0,02/24/2026 09:28,https://www.instagram.com/stories/360radioco/3839751626463045090,Historia de Instagram,,Total,300,244,2,0,1.0,0,1.0,273,,
18074448983132215,17841401871496039,360radioco,360 Radio Colombia,,0,02/24/2026 12:30,https://www.instagram.com/stories/360radioco/3839843472015199942,Historia de Instagram,,Total,268,228,2,0,1.0,0,,243,,
18049510187711570,17841401871496039,360radioco,360 Radio Colombia,,0,02/24/2026 12:33,https://www.instagram.com/stories/360radioco/3839844722186197108,Historia de Instagram,,Total,239,213,2,0,2.0,0,1.0,227,,
18085073579226958,17841401871496039,360radioco,360 Radio Colombia,,0,02/24/2026 12:34,https://www.instagram.com/stories/360radioco/3839845305320323815,Historia de Instagram,,Total,225,203,2,0,,0,2.0,221,,
18094904827814729,17841401871496039,360radioco,360 Radio Colombia,@acggp_energia,49,02/24/2026 12:47,https://www.instagram.com/stories/360radioco/3839852323724674453,Historia de Instagram,,Total,683,515,3,1,,0,,218,,
17853197301672613,17841401871496039,360radioco,360 Radio Colombia,,0,02/24/2026 20:36,https://www.instagram.com/stories/360radioco/3840088038156714756,Historia de Instagram,,Total,793,650,6,2,1.0,0,,284,,
17878381425480706,17841401871496039,360radioco,360 Radio Colombia,,0,02/25/2026 07:16,https://www.instagram.com/stories/360radioco/3840410306422397986,Historia de Instagram,,Total,406,335,4,0,5.0,0,,333,,
18059285024370509,17841401871496039,360radioco,360 Radio Colombia,,0,02/25/2026 07:17,https://www.instagram.com/stories/360radioco/3840410720911900088,Historia de Instagram,,Total,349,278,5,0,,0,3.0,322,,
18072426161157960,17841401871496039,360radioco,360 Radio Colombia,,0,02/25/2026 07:18,https://www.instagram.com/stories/360radioco/3840411224664582925,Historia de Instagram,,Total,311,262,3,0,,0,,294,,
18111611686589292,17841401871496039,360radioco,360 Radio Colombia,,0,02/25/2026 07:19,https://www.instagram.com/stories/360radioco/3840411616127353529,Historia de Instagram,,Total,293,253,4,0,4.0,0,1.0,258,,
18127810477546745,17841401871496039,360radioco,360 Radio Colombia,,0,02/26/2026 06:54,https://www.instagram.com/stories/360radioco/3841123963338883573,Historia de Instagram,,Total,371,327,2,0,8.0,4,1.0,311,,
